City,Latitude,Longitude,Name,Link,Rating
St Malo,49.3146950,-96.9538228,HÃ´tel France et Chateaubriand,https://www.booking.comhttps://www.booking.com/hotel/fr/de-france-et-chateaubriand.fr.html,"Avec une note de 7,9"
St Malo,49.3146950,-96.9538228,HÃ´tel Anne de Bretagne,https://www.booking.comhttps://www.booking.com/hotel/fr/anne-de-bretagne.fr.html,"Avec une note de 8,8"
St Malo,49.3146950,-96.9538228,Golden Tulip Saint Maloâ Le Grand BÃ©,https://www.booking.comhttps://www.booking.com/hotel/fr/golden-tulip-saint-malo.fr.html,"Avec une note de 8,6"
St Malo,49.3146950,-96.9538228,Oceania Saint Malo,https://www.booking.comhttps://www.booking.com/hotel/fr/oceaniasaintmalo.fr.html,"Avec une note de 8,8"
St Malo,49.3146950,-96.9538228,Kyriad Prestige Saint-Malo,https://www.booking.comhttps://www.booking.com/hotel/fr/kyriad-prestige-saint-malo-xml.fr.html,"Avec une note de 8,8"
St Malo,49.3146950,-96.9538228,ibis Saint Malo Plage,https://www.booking.comhttps://www.booking.com/hotel/fr/ibis-saint-malo-plage.fr.html,"Avec une note de 8,6"
St Malo,49.3146950,-96.9538228,Hotel Kyriad Saint Malo Centre Plage,https://www.booking.comhttps://www.booking.com/hotel/fr/bleumarinesaintmalo.fr.html,"Avec une note de 8,3"
St Malo,49.3146950,-96.9538228,Grand HÃ´tel Des Thermes,https://www.booking.comhttps://www.booking.com/hotel/fr/desthermessaintmalo.fr.html,"Avec une note de 8,6"
St Malo,49.3146950,-96.9538228,HÃ´tel Bristol Union Intra Muros,https://www.booking.comhttps://www.booking.com/hotel/fr/bristol-union.fr.html,"Avec une note de 9,2"
St Malo,49.3146950,-96.9538228,Escale Oceania Saint Malo,https://www.booking.comhttps://www.booking.com/hotel/fr/mascottesaintmalo.fr.html,"Avec une note de 8,2"
St Malo,49.3146950,-96.9538228,HÃ´tel Le Nouveau Monde,https://www.booking.comhttps://www.booking.com/hotel/fr/ha-tel-le-nouveau-monde.fr.html,"Avec une note de 8,9"
St Malo,49.3146950,-96.9538228,Mercure St Malo Front de Mer,https://www.booking.comhttps://www.booking.com/hotel/fr/st-malo-front-de-mer.fr.html,"Avec une note de 8,1"
St Malo,49.3146950,-96.9538228,HÃ´tel Cartier,https://www.booking.comhttps://www.booking.com/hotel/fr/cartier.fr.html,"Avec une note de 8,5"
St Malo,49.3146950,-96.9538228,"HÃ´tel des Marins, Saint-Malo",https://www.booking.comhttps://www.booking.com/hotel/fr/dulouvresaintmalo.fr.html,"Avec une note de 8,6"
St Malo,49.3146950,-96.9538228,Starfish - Charmant appt Ã  3min Ã  pied de la plage,https://www.booking.comhttps://www.booking.com/hotel/fr/starfish-charmant-appt-a-3min-a-pied-de-la-plage.fr.html,"Avec une note de 9,4"
St Malo,49.3146950,-96.9538228,Les LÃ©truns - Appart - 3 pers - Vue sur la mer,https://www.booking.comhttps://www.booking.com/hotel/fr/bas-sablons-appart-4-pers-vue-sur-la-mer.fr.html,"Avec une note de 9,5"
St Malo,49.3146950,-96.9538228,Best Western Alexandra,https://www.booking.comhttps://www.booking.com/hotel/fr/best-western-alexandra.fr.html,"Avec une note de 8,5"
St Malo,49.3146950,-96.9538228,La Maison des Armateurs,https://www.booking.comhttps://www.booking.com/hotel/fr/la-maison-des-armateurs.fr.html,"Avec une note de 8,8"
St Malo,49.3146950,-96.9538228,HÃ´tel L'Adresse - EntiÃ¨rement rÃ©novÃ©,https://www.booking.comhttps://www.booking.com/hotel/fr/adresse.fr.html,"Avec une note de 8,8"
St Malo,49.3146950,-96.9538228,Residence Reine Marine,https://www.booking.comhttps://www.booking.com/hotel/fr/residence-reine-marine.fr.html,"Avec une note de 8,6"
St Malo,49.3146950,-96.9538228,ibis Styles Saint Malo Centre Historique,https://www.booking.comhttps://www.booking.com/hotel/fr/all-seasons-saint-malo-centre-historique.fr.html,"Avec une note de 8,6"
St Malo,49.3146950,-96.9538228,Ambassadeurs Logis Hotel,https://www.booking.comhttps://www.booking.com/hotel/fr/ambassadeurs.fr.html,"Avec une note de 8,2"
St Malo,49.3146950,-96.9538228,Apartment le Grand BÃ© by Interhome,https://www.booking.comhttps://www.booking.com/hotel/fr/apartment-le-grand-be-by-interhome.fr.html,"Avec une note de 9,4"
St Malo,49.3146950,-96.9538228,HÃ´tel Le Nautilus,https://www.booking.comhttps://www.booking.com/hotel/fr/le-nautilus.fr.html,"Avec une note de 9,4"
St Malo,49.3146950,-96.9538228,Les embruns,https://www.booking.comhttps://www.booking.com/hotel/fr/les-embruns-saint-malo.fr.html,"Avec une note de 9,8"
Rouen,49.4404591,1.0939658,"Radisson Blu Hotel, Rouen Centre",https://www.booking.comhttps://www.booking.com/hotel/fr/radisson-blu-rouen-centre.fr.html,"Avec une note de 8,9"
Rouen,49.4404591,1.0939658,"HÃ´tel de Bourgtheroulde, Autograph Collection",https://www.booking.comhttps://www.booking.com/hotel/fr/de-bourgtheroulde.fr.html,"Avec une note de 8,7"
Rouen,49.4404591,1.0939658,"HÃ´tel LittÃ©raire Gustave Flaubert, BW Signature Collection",https://www.booking.comhttps://www.booking.com/hotel/fr/hotellitterairegustaveflaubert.fr.html,"Avec une note de 8,5"
Rouen,49.4404591,1.0939658,Novotel Rouen Centre CathÃ©drale,https://www.booking.comhttps://www.booking.com/hotel/fr/novotel-rouen-centre-cathedrale.fr.html,"Avec une note de 8,5"
Rouen,49.4404591,1.0939658,Hyatt Place Rouen,https://www.booking.comhttps://www.booking.com/hotel/fr/hyatt-place-rouen.fr.html,"Avec une note de 8,6"
Rouen,49.4404591,1.0939658,Mercure Rouen Centre CathÃ©drale,https://www.booking.comhttps://www.booking.com/hotel/fr/mercure-rouen-centre.fr.html,"Avec une note de 8,4"
